Gerente General;Responsable de la gestión general de la empresa;8000.00
Gerente de Ventas;Encargado del área comercial y ventas;6000.00
Ejecutivo de Ventas;Asesor comercial para clientes;3500.00
Guía Turístico Senior;Guía especializado con experiencia;2800.00
Guía Turístico Junior;Guía turístico en entrenamiento;2200.00
Coordinador de Operaciones;Coordina la operación de paquetes;4500.00
Asistente de Reservas;Maneja reservas y atención al cliente;2500.00
Contador;Responsable del área contable;4000.00
Conductor;Conductor de vehículos turísticos;2000.00
Recepcionista;Atención en recepción;1800.00
Marketing Digital;Especialista en marketing online;3800.00
Jefe de Recursos Humanos;Gestión del personal;5500.00
Asistente Administrativo;Apoyo en tareas administrativas;2300.00
Supervisor de Calidad;Control de calidad de servicios;4200.00
Desarrollador Web;Mantenimiento de plataformas digitales;4800.00
Cientifico de Datos;Especialista en Analisis de Datos;10000.00
