"3 De Diciembre ";1004;Chupaca;Junín
"Abancay ";"250 ";Abancay;Apurímac
Abelardo Pardo Lezameta;"97  ";Bolognesi;Ancash
"Acari ";"367 ";Caravelí;Arequipa
"Acas ";"188 ";Ocros;Ancash
"Accha ";"754 ";Paruro;Cusco
"Accomarca ";"539 ";Vilcashuamán;Ayacucho
"Achaya ";1576;Sechura;Piura
Achoma;"394 ";Caylloma;Arequipa
"Aco ";"130 ";Corongo;Ancash
"Aco ";1013;Concepción;Junín
"Acobamba ";"232 ";Sihuas;Ancash
"Acobamba ";"788 ";Acobamba;Huancavelica
"Acobamba ";1102;Tarma;Junín
"Acobambilla ";"830 ";Huancavelica;Huancavelica
"Acochaca ";"95  ";Asunción;Ancash
"Acocro ";"444 ";Huamanga;Ayacucho
"Acolla ";1056;Jauja;Junín
"Acomayo ";"680 ";Acomayo;Cusco
"Acopampa ";"112 ";Carhuaz;Ancash
"Acopia ";"681 ";Acomayo;Cusco
"Acora ";1644;Lampa;Puno
"Acoria ";"831 ";Huancavelica;Huancavelica
"Acos ";"682 ";Acomayo;Cusco
"Acos Vinchos ";"445 ";Huamanga;Ayacucho
"Acostambo ";"863 ";Tayacaja;Huancavelica
"Acraquia ";"864 ";Tayacaja;Huancavelica
"Aczo ";"89  ";Antonio Raymondi;Ancash
"Agallpampa ";1145;Otuzco;La Libertad
"Agua Blanca ";1690;Sandia;Puno
"Aguas Verdes ";1795;Tarata;Tacna
"Ahuac ";1005;Chupaca;Junín
"Ahuaycha ";"865 ";Tayacaja;Huancavelica
"Aija ";"84  ";Aija;Ancash
"Ajoyani ";1591;Sullana;Piura
"Alberto Leveau ";1742;Moyobamba;San Martín
"Alca ";"427 ";La Unión;Arequipa
"Alcamenca ";"527 ";Víctor Fajardo;Ayacucho
"Alfonso Ugarte ";"233 ";Sihuas;Ancash
"Alis ";1374;Yauyos;Lima
Alonso De Alvarado;1701;Bellavista;San Martín
"Alto Biavo ";1684;San Román;Puno
Alto De La Alianza;1770;Tocache;San Martín
"Alto Inambari ";1668;Puno;Puno
"Alto Laran ";"955 ";Chincha;Ica
"Alto Nanay ";1423;Loreto;Loreto
"Alto Pichigua ";"736 ";Espinar;Cusco
"Alto Saposoa ";1695;Yunguyo;Puno
"Alto Selva Alegre ";"330 ";Arequipa;Arequipa
"Alto Tapiche ";1438;Maynas;Loreto
"Amantani ";1645;Lampa;Puno
"Amarilis ";"913 ";Huánuco;Huánuco
"Amashca ";"113 ";Carhuaz;Ancash
